nps_id,customer_id,channel_id,score,comment,responded_at,responded_at_int
13000000000,1083,1,10,No Comment,2024-06-01 03:07:26,202406010307
13000000001,1383,1,5,Volvería a comprar,2024-03-11 13:19:21,202403111319
13000000002,179,1,10,Atención muy buena,2024-04-11 23:16:07,202404112316
13000000003,566,1,7,Todo perfecto,2024-06-30 17:09:09,202406301709
13000000004,1004,1,8,Atención muy buena,2025-02-05 02:14:04,202502050214
13000000005,1261,1,10,Tardó un poco más de lo esperado,2025-06-14 03:14:19,202506140314
13000000006,1376,1,6,Todo perfecto,2024-04-19 16:54:51,202404191654
13000000007,837,1,3,Volvería a comprar,2024-07-03 21:24:42,202407032124
13000000008,994,1,7,Todo perfecto,2025-07-21 20:49:01,202507212049
13000000009,192,1,8,Entrega rápida y producto excelente,2024-04-13 08:57:20,202404130857
13000000010,1330,1,6,No Comment,2024-11-04 16:13:34,202411041613
13000000011,442,2,0,Atención muy buena,2025-07-03 01:14:44,202507030114
13000000012,57,1,7,Atención muy buena,2025-04-30 09:11:49,202504300911
13000000013,559,1,8,Entrega rápida y producto excelente,2025-08-07 09:04:49,202508070904
13000000014,130,1,10,Muy conforme con la calidad,2025-04-16 12:47:22,202504161247
13000000015,238,2,4,Volvería a comprar,2024-06-26 03:02:56,202406260302
13000000016,629,1,8,Entrega rápida y producto excelente,2025-04-17 10:53:49,202504171053
13000000017,1162,2,7,Entrega rápida y producto excelente,2024-05-20 06:01:40,202405200601
13000000018,80,2,9,Entrega rápida y producto excelente,2024-10-05 22:11:11,202410052211
13000000019,1233,2,2,Muy conforme con la calidad,2024-03-19 06:51:10,202403190651
13000000020,217,1,2,Entrega rápida y producto excelente,2024-08-10 22:17:11,202408102217
13000000021,1015,2,5,Volvería a comprar,2025-08-19 12:23:24,202508191223
13000000022,1086,2,7,Atención muy buena,2024-04-08 15:30:30,202404081530
13000000023,692,1,9,Muy conforme con la calidad,2024-01-28 17:20:54,202401281720
13000000024,960,1,6,Podría mejorar el empaque,2024-10-26 18:33:14,202410261833
13000000025,695,2,2,Volvería a comprar,2025-03-30 05:45:07,202503300545
13000000026,438,1,10,Volvería a comprar,2025-06-07 11:44:23,202506071144
13000000027,564,1,9,Muy conforme con la calidad,2025-05-08 00:53:32,202505080053
13000000028,1261,1,7,Volvería a comprar,2025-05-25 21:17:36,202505252117
13000000029,1122,2,4,Atención muy buena,2024-06-10 01:15:40,202406100115
13000000030,1427,1,5,Muy conforme con la calidad,2025-10-06 14:57:36,202510061457
13000000031,661,1,10,Podría mejorar el empaque,2024-08-30 23:16:06,202408302316
13000000032,1055,2,8,Todo perfecto,2025-02-08 09:38:10,202502080938
13000000033,321,2,8,Podría mejorar el empaque,2025-03-08 01:47:46,202503080147
13000000034,500,1,10,Atención muy buena,2024-07-22 04:57:19,202407220457
13000000035,544,1,8,Volvería a comprar,2024-06-18 21:33:38,202406182133
13000000036,1405,2,8,Atención muy buena,2024-07-23 01:29:34,202407230129
13000000037,952,1,5,Podría mejorar el empaque,2024-08-31 06:49:31,202408310649
13000000038,128,2,3,Entrega rápida y producto excelente,2024-12-29 11:45:16,202412291145
13000000039,342,2,8,Tardó un poco más de lo esperado,2025-07-02 18:54:21,202507021854
13000000040,19,2,3,Podría mejorar el empaque,2024-05-21 01:36:06,202405210136
13000000041,189,1,8,Muy conforme con la calidad,2024-07-22 03:55:21,202407220355
13000000042,797,1,4,Todo perfecto,2025-09-07 18:46:17,202509071846
13000000043,1004,2,8,Entrega rápida y producto excelente,2024-12-11 16:56:35,202412111656
13000000044,426,2,9,Todo perfecto,2025-03-30 04:35:06,202503300435
13000000045,1026,1,8,Muy conforme con la calidad,2025-08-13 00:52:13,202508130052
13000000046,812,2,7,No Comment,2025-04-19 22:10:36,202504192210
13000000047,994,1,10,Entrega rápida y producto excelente,2024-03-13 21:25:13,202403132125
13000000048,1171,2,10,No Comment,2025-07-23 12:41:39,202507231241
13000000049,1207,2,2,Podría mejorar el empaque,2025-03-26 22:23:24,202503262223
13000000050,1467,1,8,Todo perfecto,2024-11-18 16:03:56,202411181603
13000000051,1484,2,8,Muy conforme con la calidad,2024-06-06 12:49:26,202406061249
13000000052,815,1,9,Atención muy buena,2024-05-23 01:17:13,202405230117
13000000053,500,1,9,Todo perfecto,2024-07-05 10:13:55,202407051013
13000000054,1048,2,10,No Comment,2024-12-16 02:55:03,202412160255
13000000055,19,1,7,Entrega rápida y producto excelente,2024-04-14 19:57:51,202404141957
13000000056,804,2,7,Podría mejorar el empaque,2024-10-05 09:06:36,202410050906
13000000057,500,2,9,Entrega rápida y producto excelente,2024-10-23 07:11:59,202410230711
13000000058,1179,2,7,Podría mejorar el empaque,2025-06-18 16:46:05,202506181646
13000000059,902,2,9,Entrega rápida y producto excelente,2025-04-05 16:44:09,202504051644
13000000060,548,1,6,Atención muy buena,2024-03-02 17:49:39,202403021749
13000000061,1335,1,9,Volvería a comprar,2024-01-15 01:01:50,202401150101
13000000062,903,1,10,No Comment,2024-07-24 20:38:24,202407242038
13000000063,807,1,8,Todo perfecto,2025-04-26 21:04:24,202504262104
13000000064,43,2,7,Tardó un poco más de lo esperado,2025-03-28 04:27:32,202503280427
13000000065,1189,2,8,Todo perfecto,2025-04-30 19:36:36,202504301936
13000000066,554,1,7,Entrega rápida y producto excelente,2024-06-30 01:24:03,202406300124
13000000067,1411,1,9,Podría mejorar el empaque,2025-01-25 05:47:13,202501250547
13000000068,990,1,2,Podría mejorar el empaque,2024-02-18 03:58:07,202402180358
13000000069,581,2,8,Entrega rápida y producto excelente,2024-04-30 08:18:05,202404300818
13000000070,1214,2,2,Muy conforme con la calidad,2025-06-03 03:16:28,202506030316
13000000071,1182,1,8,No Comment,2025-06-04 13:38:56,202506041338
13000000072,56,2,9,Muy conforme con la calidad,2024-10-15 02:07:22,202410150207
13000000073,1443,1,9,Muy conforme con la calidad,2024-08-09 20:40:50,202408092040
13000000074,822,1,9,Podría mejorar el empaque,2024-09-24 19:46:26,202409241946
13000000075,18,1,7,Atención muy buena,2025-07-27 10:40:20,202507271040
13000000076,436,1,8,Podría mejorar el empaque,2024-12-12 16:09:46,202412121609
13000000077,558,2,9,Volvería a comprar,2024-08-15 02:57:02,202408150257
13000000078,1202,2,9,Todo perfecto,2025-04-26 08:56:16,202504260856
13000000079,1412,2,0,Podría mejorar el empaque,2024-10-06 13:55:55,202410061355
13000000080,1336,2,6,Tardó un poco más de lo esperado,2025-03-02 11:16:01,202503021116
13000000081,1336,1,7,Muy conforme con la calidad,2025-09-16 15:58:29,202509161558
13000000082,1224,2,10,No Comment,2024-12-09 15:30:01,202412091530
13000000083,859,1,9,Atención muy buena,2024-07-28 23:10:32,202407282310
13000000084,818,1,10,Volvería a comprar,2024-01-28 01:51:31,202401280151
13000000085,816,2,6,Entrega rápida y producto excelente,2024-10-26 15:24:03,202410261524
13000000086,653,1,9,Muy conforme con la calidad,2024-10-16 16:02:50,202410161602
13000000087,1056,1,8,Tardó un poco más de lo esperado,2024-12-14 22:25:30,202412142225
13000000088,1037,1,7,Entrega rápida y producto excelente,2024-02-05 01:27:21,202402050127
13000000089,959,2,8,Podría mejorar el empaque,2024-12-28 05:03:44,202412280503
13000000090,1406,1,6,Atención muy buena,2024-12-28 08:55:01,202412280855
13000000091,1296,1,9,Entrega rápida y producto excelente,2025-07-02 05:34:01,202507020534
13000000092,629,1,5,Atención muy buena,2025-08-15 08:13:29,202508150813
13000000093,439,2,4,Tardó un poco más de lo esperado,2024-03-06 17:38:20,202403061738
13000000094,1423,1,8,Todo perfecto,2025-09-01 07:05:10,202509010705
13000000095,1336,2,8,Podría mejorar el empaque,2024-05-29 18:52:17,202405291852
13000000096,1453,2,6,No Comment,2025-08-24 07:59:57,202508240759
13000000097,722,1,8,Podría mejorar el empaque,2024-08-07 05:28:56,202408070528
13000000098,616,1,10,Volvería a comprar,2024-08-08 11:26:29,202408081126
13000000099,1104,1,10,Todo perfecto,2024-08-15 19:44:46,202408151944
13000000100,1004,1,4,Tardó un poco más de lo esperado,2024-10-17 21:13:26,202410172113
13000000101,304,2,9,Podría mejorar el empaque,2024-04-08 15:38:45,202404081538
13000000102,114,2,10,Atención muy buena,2024-01-14 03:49:59,202401140349
13000000103,248,2,9,Entrega rápida y producto excelente,2024-10-08 07:56:45,202410080756
13000000104,208,1,5,Podría mejorar el empaque,2024-05-18 10:16:29,202405181016
13000000105,445,1,10,Tardó un poco más de lo esperado,2024-01-20 05:58:36,202401200558
13000000106,1304,2,10,Volvería a comprar,2024-02-14 08:22:10,202402140822
13000000107,1493,1,7,Muy conforme con la calidad,2024-08-29 09:09:29,202408290909
13000000108,1123,1,8,Entrega rápida y producto excelente,2024-08-22 13:36:21,202408221336
13000000109,174,2,5,Podría mejorar el empaque,2025-07-24 22:30:44,202507242230
13000000110,825,1,8,Podría mejorar el empaque,2025-08-14 09:41:17,202508140941
13000000111,1120,2,4,Todo perfecto,2025-06-15 02:46:10,202506150246
13000000112,1101,1,3,Atención muy buena,2024-01-12 20:11:48,202401122011
13000000113,659,2,7,Tardó un poco más de lo esperado,2024-02-10 11:28:56,202402101128
13000000114,1379,1,7,Tardó un poco más de lo esperado,2024-01-23 11:07:47,202401231107
13000000115,550,2,9,Volvería a comprar,2025-09-20 01:42:57,202509200142
13000000116,1177,1,7,Todo perfecto,2024-03-14 07:03:19,202403140703
13000000117,1149,1,9,Todo perfecto,2025-06-07 21:12:25,202506072112
13000000118,236,1,9,Volvería a comprar,2025-06-02 05:22:07,202506020522
13000000119,226,1,9,Volvería a comprar,2025-02-03 08:27:37,202502030827
13000000120,850,2,6,Entrega rápida y producto excelente,2025-02-10 18:37:18,202502101837
13000000121,599,1,8,Volvería a comprar,2024-10-19 20:28:14,202410192028
13000000122,1230,2,9,Entrega rápida y producto excelente,2025-08-17 14:30:34,202508171430
13000000123,1177,1,7,Volvería a comprar,2025-03-10 16:20:54,202503101620
13000000124,728,1,9,Todo perfecto,2025-01-19 15:18:51,202501191518
13000000125,268,2,7,Podría mejorar el empaque,2025-01-25 18:25:48,202501251825
13000000126,980,2,8,Atención muy buena,2024-10-23 13:31:00,202410231331
13000000127,902,2,5,Muy conforme con la calidad,2024-02-02 03:24:41,202402020324
13000000128,800,2,4,Podría mejorar el empaque,2024-04-06 20:41:00,202404062041
13000000129,1447,1,10,Podría mejorar el empaque,2025-04-21 06:04:43,202504210604
13000000130,130,1,7,Entrega rápida y producto excelente,2025-02-22 21:56:23,202502222156
13000000131,1176,2,9,Podría mejorar el empaque,2025-06-01 13:10:21,202506011310
13000000132,771,2,8,Entrega rápida y producto excelente,2025-07-31 23:17:20,202507312317
13000000133,158,1,0,Atención muy buena,2024-12-05 19:34:31,202412051934
13000000134,811,1,1,No Comment,2025-06-12 19:46:53,202506121946
13000000135,1369,1,8,Podría mejorar el empaque,2024-10-04 04:24:07,202410040424
13000000136,131,2,8,Atención muy buena,2025-01-07 18:36:27,202501071836
13000000137,69,2,9,No Comment,2024-07-14 11:53:39,202407141153
13000000138,395,1,9,Muy conforme con la calidad,2024-07-27 08:37:44,202407270837
13000000139,1106,2,6,Entrega rápida y producto excelente,2025-03-06 00:15:24,202503060015
13000000140,4,1,0,Atención muy buena,2024-08-16 07:39:35,202408160739
13000000141,292,1,7,No Comment,2025-07-16 23:23:34,202507162323
13000000142,1467,1,5,Entrega rápida y producto excelente,2025-01-24 09:56:23,202501240956
13000000143,317,1,1,Todo perfecto,2024-09-08 07:10:51,202409080710
13000000144,1374,2,10,Todo perfecto,2025-07-05 03:12:50,202507050312
13000000145,607,1,6,No Comment,2024-02-23 15:36:46,202402231536
13000000146,661,1,8,No Comment,2025-05-20 10:57:59,202505201057
13000000147,315,1,7,No Comment,2024-05-30 09:01:29,202405300901
13000000148,522,2,0,Podría mejorar el empaque,2024-10-02 23:54:48,202410022354
13000000149,697,1,2,Entrega rápida y producto excelente,2024-10-16 22:50:22,202410162250
13000000150,1351,1,5,Todo perfecto,2025-05-26 09:53:04,202505260953
13000000151,1209,2,9,Tardó un poco más de lo esperado,2025-03-11 06:28:35,202503110628
13000000152,93,1,8,Tardó un poco más de lo esperado,2024-09-27 01:34:02,202409270134
13000000153,8,2,8,No Comment,2025-07-07 20:57:30,202507072057
13000000154,1487,1,8,Todo perfecto,2025-02-08 14:01:29,202502081401
13000000155,501,1,9,No Comment,2025-06-04 22:40:43,202506042240
13000000156,949,1,8,No Comment,2025-07-05 11:58:50,202507051158
13000000157,745,1,10,Atención muy buena,2025-01-14 13:16:12,202501141316
13000000158,58,2,8,Atención muy buena,2025-09-16 11:08:21,202509161108
13000000159,1226,1,9,Muy conforme con la calidad,2025-05-07 07:34:03,202505070734
13000000160,952,2,8,Podría mejorar el empaque,2024-03-31 02:48:46,202403310248
13000000161,1424,1,7,Podría mejorar el empaque,2025-07-18 01:30:02,202507180130
13000000162,146,1,8,Volvería a comprar,2025-09-21 13:35:48,202509211335
13000000163,831,1,3,Todo perfecto,2025-03-01 17:55:25,202503011755
13000000164,991,1,0,Tardó un poco más de lo esperado,2025-08-04 23:43:06,202508042343
13000000165,485,1,8,Tardó un poco más de lo esperado,2025-01-11 11:56:27,202501111156
13000000166,789,2,4,Volvería a comprar,2024-08-12 19:05:31,202408121905
13000000167,1456,1,1,Entrega rápida y producto excelente,2024-03-26 22:12:53,202403262212
13000000168,1341,2,8,Todo perfecto,2025-06-19 14:12:30,202506191412
13000000169,993,1,7,Entrega rápida y producto excelente,2024-12-15 04:07:03,202412150407
