shipment_id,order_id,carrier,tracking_number,status,shipped_at,delivered_at,shipped_at_int,delivered_at_int
9000000000,1000000000,Correo Argentino,TRK-LM6S0ZIUQ6,DELIVERED,2024-11-27 07:50:47,2024-11-30 07:50:47,202411270750,202411300750
9000000001,1000000001,Correo Argentino,TRK-S7JYRIGG48,READY,2024-02-01 01:00:04,2024-02-05 01:00:04,202402010100,202402050100
9000000002,1000000002,Correo Argentino,TRK-YI8R5NTIPW,DELIVERED,2025-02-27 19:39:44,2025-03-01 19:39:44,202502271939,202503011939
9000000003,1000000003,Correo Argentino,TRK-UWNN6LXYNU,DELIVERED,2025-03-02 17:35:36,2025-03-06 17:35:36,202503021735,202503061735
9000000004,1000000004,PICKUP,-1,DELIVERED,2024-03-30 02:46:36,2024-03-31 02:46:36,202403300246,202403310246
9000000005,1000000005,PICKUP,-1,DELIVERED,2024-03-12 20:54:35,2024-03-13 20:54:35,202403122054,202403132054
9000000006,1000000006,Correo Argentino,TRK-UCA7R6D2X6,DELIVERED,2025-07-16 22:55:56,2025-07-20 22:55:56,202507162255,202507202255
9000000007,1000000007,Correo Argentino,TRK-EEAFDZHDID,DELIVERED,2024-11-12 20:15:00,2024-11-15 20:15:00,202411122015,202411152015
9000000008,1000000008,Correo Argentino,TRK-99ZZCRAXY6,DELIVERED,2024-08-26 03:29:28,2024-08-28 03:29:28,202408260329,202408280329
9000000009,1000000009,Correo Argentino,TRK-M4QI31HO4X,SHIPPED,2024-03-31 10:34:46,2024-04-03 10:34:46,202403311034,202404031034
9000000010,1000000010,PICKUP,-1,DELIVERED,2024-03-13 02:19:39,2024-03-14 02:19:39,202403130219,202403140219
9000000011,1000000011,PICKUP,-1,DELIVERED,2025-06-17 03:46:29,2025-06-18 03:46:29,202506170346,202506180346
9000000012,1000000012,PICKUP,-1,DELIVERED,2024-08-09 14:38:29,2024-08-10 14:38:29,202408091438,202408101438
9000000013,1000000013,PICKUP,-1,SHIPPED,2025-03-23 11:26:14,2025-03-24 11:26:14,202503231126,202503241126
9000000014,1000000014,Correo Argentino,TRK-TEL745CSF0,SHIPPED,2025-08-19 12:46:12,2025-08-24 12:46:12,202508191246,202508241246
9000000015,1000000015,Correo Argentino,-1,CANCELLED,,,-1,-1
