nps_sk,responded_at_sk,nps_id,score,comment
1,571868,13000000000,10,No Comment
2,454400,13000000001,5,Volvería a comprar
3,499637,13000000002,10,Atención muy buena
4,614470,13000000003,7,Todo perfecto
5,930375,13000000004,8,Atención muy buena
6,1116195,13000000005,10,Tardó un poco más de lo esperado
7,510775,13000000006,6,Todo perfecto
8,619045,13000000007,3,Volvería a comprar
9,1170530,13000000008,7,Todo perfecto
10,501658,13000000009,8,Entrega rápida y producto excelente
11,797294,13000000010,6,No Comment
12,1143435,13000000011,0,Atención muy buena
13,1051752,13000000012,7,Atención muy buena
14,1194305,13000000013,8,Entrega rápida y producto excelente
15,1031808,13000000014,10,Muy conforme con la calidad
16,607863,13000000015,4,Volvería a comprar
17,1033134,13000000016,8,Entrega rápida y producto excelente
18,554762,13000000017,7,Entrega rápida y producto excelente
19,754452,13000000018,9,Entrega rápida y producto excelente
20,465532,13000000019,2,Muy conforme con la calidad
21,673818,13000000020,2,Entrega rápida y producto excelente
22,1211784,13000000021,5,Volvería a comprar
23,494851,13000000022,7,Atención muy buena
24,392721,13000000023,9,Muy conforme con la calidad
25,784474,13000000024,6,Podría mejorar el empaque
26,1006906,13000000025,2,Volvería a comprar
27,1106625,13000000026,10,Volvería a comprar
28,1062774,13000000027,9,Muy conforme con la calidad
29,1088478,13000000028,7,Volvería a comprar
30,584716,13000000029,4,Atención muy buena
31,1281058,13000000030,5,Muy conforme con la calidad
32,702677,13000000031,10,Podría mejorar el empaque
33,935139,13000000032,8,Todo perfecto
34,974988,13000000033,8,Podría mejorar el empaque
35,645418,13000000034,10,Atención muy buena
36,597454,13000000035,8,Volvería a comprar
37,646650,13000000036,8,Atención muy buena
38,703130,13000000037,5,Podría mejorar el empaque
39,876226,13000000038,3,Entrega rápida y producto excelente
40,1143055,13000000039,8,Tardó un poco más de lo esperado
41,555937,13000000040,3,Podría mejorar el empaque
42,645356,13000000041,8,Muy conforme con la calidad
43,1239527,13000000042,4,Todo perfecto
44,850617,13000000043,8,Entrega rápida y producto excelente
45,1006836,13000000044,9,Todo perfecto
46,1202453,13000000045,8,Muy conforme con la calidad
47,1036691,13000000046,7,No Comment
48,457766,13000000047,10,Entrega rápida y producto excelente
49,1172922,13000000048,10,No Comment
50,1002144,13000000049,2,Podría mejorar el empaque
51,817444,13000000050,8,Todo perfecto
52,579650,13000000051,8,Muy conforme con la calidad
53,558798,13000000052,9,Atención muy buena
54,621254,13000000053,9,Todo perfecto
55,856976,13000000054,10,No Comment
56,503758,13000000055,7,Entrega rápida y producto excelente
57,753667,13000000056,7,Podría mejorar el empaque
58,779472,13000000057,9,Entrega rápida y producto excelente
59,1122767,13000000058,7,Podría mejorar el empaque
60,1016205,13000000059,9,Entrega rápida y producto excelente
61,441710,13000000060,6,Atención muy buena
62,373022,13000000061,9,Volvería a comprar
63,649239,13000000062,10,No Comment
64,1046705,13000000063,8,Todo perfecto
65,1003948,13000000064,7,Tardó un poco más de lo esperado
66,1052377,13000000065,8,Todo perfecto
67,613525,13000000066,7,Entrega rápida y producto excelente
68,914748,13000000067,9,Podría mejorar el empaque
69,422159,13000000068,2,Podría mejorar el empaque
70,526099,13000000069,8,Entrega rápida y producto excelente
71,1100357,13000000070,2,Muy conforme con la calidad
72,1102419,13000000071,8,No Comment
73,767648,13000000072,9,Muy conforme con la calidad
74,672281,13000000073,9,Muy conforme con la calidad
75,738467,13000000074,9,Podría mejorar el empaque
76,1178561,13000000075,7,Atención muy buena
77,852010,13000000076,8,Podría mejorar el empaque
78,679858,13000000077,9,Volvería a comprar
79,1045977,13000000078,9,Todo perfecto
80,755396,13000000079,0,Podría mejorar el empaque
81,966917,13000000080,6,Tardó un poco más de lo esperado
82,1252319,13000000081,7,Muy conforme con la calidad
83,847651,13000000082,10,No Comment
84,655151,13000000083,9,Atención muy buena
85,391792,13000000084,10,Volvería a comprar
86,784285,13000000085,6,Entrega rápida y producto excelente
87,769923,13000000086,9,Muy conforme con la calidad
88,855266,13000000087,8,Tardó un poco más de lo esperado
89,403288,13000000088,7,Entrega rápida y producto excelente
90,874384,13000000089,8,Podría mejorar el empaque
91,874616,13000000090,6,Atención muy buena
92,1142255,13000000091,9,Entrega rápida y producto excelente
93,1205774,13000000092,5,Atención muy buena
94,447459,13000000093,4,Tardó un poco más de lo esperado
95,1230186,13000000094,8,Todo perfecto
96,568493,13000000095,8,Podría mejorar el empaque
97,1218720,13000000096,6,No Comment
98,668489,13000000097,8,Podría mejorar el empaque
99,670287,13000000098,10,Volvería a comprar
100,680865,13000000099,10,Todo perfecto
101,771674,13000000100,4,Tardó un poco más de lo esperado
102,494859,13000000101,9,Podría mejorar el empaque
103,371750,13000000102,10,Atención muy buena
104,757917,13000000103,9,Entrega rápida y producto excelente
105,552137,13000000104,5,Podría mejorar el empaque
106,380519,13000000105,10,Tardó un poco más de lo esperado
107,416663,13000000106,10,Volvería a comprar
108,700390,13000000107,7,Muy conforme con la calidad
109,690577,13000000108,8,Entrega rápida y producto excelente
110,1174951,13000000109,5,Podría mejorar el empaque
111,1204422,13000000110,8,Podría mejorar el empaque
112,1117607,13000000111,4,Todo perfecto
113,369852,13000000112,3,Atención muy buena
114,411089,13000000113,7,Tardó un poco más de lo esperado
115,385148,13000000114,7,Tardó un poco más de lo esperado
116,1257223,13000000115,9,Volvería a comprar
117,458344,13000000116,7,Todo perfecto
118,1107193,13000000117,9,Todo perfecto
119,1099043,13000000118,9,Volvería a comprar
