payment_sk,payment_id,order_id,customer_sk,channel_sk,store_sk,billing_address_sk,shipping_address_sk,order_date_sk,paid_at_sk,method,status,currency_code,subtotal,tax_amount,shipping_fee,amount,transaction_ref
1,7000000000,1000000000,356,1,-1,-1,599,828471,829491,CARD,PAID,ARS,51600.0,10836.0,1200.0,63636.0,TX-1HW3GM7Q6LFJ
2,7000000001,1000000001,601,1,-1,-1,2538,396061,-1,GATEWAY,PENDING,ARS,63840.0,13406.4,900.0,78146.4,-1
3,7000000002,1000000002,1234,1,-1,-1,3067,961660,963820,CARD,PAID,ARS,25260.0,5304.6,1500.0,32064.6,TX-8PBOWVHD7B4I
4,7000000003,1000000003,156,1,-1,-1,511,965856,967176,CARD,PAID,ARS,25500.0,5355.0,0.0,30855.0,TX-SQ97NPWQ6YK8
5,7000000004,1000000004,616,2,4,4,4,481127,483947,CARD,PAID,ARS,44175.0,9276.75,0.0,53451.75,TX-F7761XS1CXDC
6,7000000005,1000000005,614,2,2,2,2,456295,457375,CASH,PAID,ARS,24000.0,5040.0,0.0,29040.0,TX-RNWJHS1F8G0Y
7,7000000006,1000000006,188,1,-1,-1,1152,1162016,1164296,CARD,REFUNDED,ARS,14250.0,2992.5,1200.0,18442.5,TX-X2AJGZ36N3FR
8,7000000007,1000000007,17,1,-1,-1,2581,807616,811516,CARD,PAID,ARS,13500.0,2835.0,1200.0,17535.0,TX-ZRHVYPGQTDRK
9,7000000008,1000000008,1148,1,-1,-1,494,694290,695490,CARD,PAID,ARS,89100.0,18711.0,1200.0,109011.0,TX-CHL80ZD8IP5O
10,7000000009,1000000009,1037,1,-1,-1,978,481595,483515,GATEWAY,PAID,ARS,12825.0,2693.25,1200.0,16718.25,TX-J2VP8C6ROCZQ
11,7000000010,1000000010,1336,2,1,1,1,456620,458120,TRANSFER,REFUNDED,ARS,14700.0,3087.0,0.0,17787.0,TX-1UN1COQAVK65
12,7000000011,1000000011,1239,2,4,4,4,1120547,1120787,CASH,PAID,ARS,34140.0,7169.4,0.0,41309.4,TX-U5CXUHGK42O6
13,7000000012,1000000012,1426,2,3,3,3,671919,675759,CARD,PAID,ARS,35280.0,7408.8,0.0,42688.8,TX-GS664FN80M9E
14,7000000013,1000000013,862,2,1,1,1,997167,997347,CASH,PAID,ARS,101887.5,21396.38,0.0,123283.88,TX-BZOPSO6JPRZD
15,7000000014,1000000014,181,1,-1,-1,2921,1210367,1212707,CARD,PAID,ARS,11760.0,2469.6,900.0,15129.6,TX-AD0J2NGELHNC
16,7000000015,1000000015,700,1,-1,-1,807,725084,-1,CARD,FAILED,ARS,23520.0,4939.2,1200.0,29659.2,-1
17,7000000016,1000000016,475,1,-1,-1,2562,1223927,1226687,GATEWAY,PAID,ARS,22680.0,4762.8,1200.0,28642.8,TX-Y2BIADVO9F18
18,7000000017,1000000017,753,2,2,2,2,951277,951937,CARD,PAID,ARS,66870.0,14042.7,0.0,80912.7,TX-O7MTCOYJ61AJ
19,7000000018,1000000018,1151,1,-1,-1,1695,634521,-1,GATEWAY,FAILED,ARS,81990.0,17217.9,900.0,100107.9,-1
20,7000000019,1000000019,793,1,-1,-1,2616,1038493,1041853,CARD,PAID,ARS,37044.0,7779.24,1200.0,46023.24,TX-EMS8E80975XQ
21,7000000020,1000000020,866,1,-1,-1,2378,534337,535177,CARD,PAID,ARS,49500.0,10395.0,0.0,59895.0,TX-EZKXQ80I4527
22,7000000021,1000000021,1110,1,-1,-1,1549,1262766,1264386,CARD,PAID,ARS,23520.0,4939.2,1200.0,29659.2,TX-BE5NW8R3MU50
23,7000000022,1000000022,854,2,1,1,1,482537,486437,TRANSFER,REFUNDED,ARS,24000.0,5040.0,0.0,29040.0,TX-I1Q2G15R83Y7
24,7000000023,1000000023,379,2,3,3,3,1147423,1151743,CASH,PAID,ARS,68400.0,14364.0,0.0,82764.0,TX-3TFFR8COO0FP
25,7000000024,1000000024,441,2,2,2,2,967198,968278,CARD,PAID,ARS,11760.0,2469.6,0.0,14229.6,TX-91AAY0A1V9Q3
26,7000000025,1000000025,125,1,-1,-1,516,1221538,1223638,CARD,PAID,ARS,70087.5,14718.38,1200.0,86005.88,TX-SVYYRKPOYWM4
27,7000000026,1000000026,1201,1,-1,-1,301,852480,855840,CARD,PAID,ARS,13500.0,2835.0,1200.0,17535.0,TX-9O9IH4O8JG78
28,7000000027,1000000027,1055,1,-1,-1,1862,836745,836985,CARD,PAID,ARS,22800.0,4788.0,900.0,28488.0,TX-C245O7O7GRI9
29,7000000028,1000000028,382,1,-1,-1,1423,550452,552072,CARD,PAID,ARS,12000.0,2520.0,0.0,14520.0,TX-J6HQJG5HEW5S
30,7000000029,1000000029,1456,1,-1,-1,1425,1248644,1249784,CARD,PAID,ARS,64740.0,13595.4,900.0,79235.4,TX-DRZ2QYPBHF3H
31,7000000030,1000000030,1377,2,4,4,4,1109943,1112823,CARD,PAID,ARS,34200.0,7182.0,0.0,41382.0,TX-13PMNCYBLOP6
32,7000000031,1000000031,1375,2,4,4,4,1066276,1070416,CASH,PAID,ARS,23520.0,4939.2,0.0,28459.2,TX-PFV0D0IML4NF
33,7000000032,1000000032,821,1,-1,-1,924,985838,987398,CARD,PAID,ARS,27000.0,5670.0,1200.0,33870.0,TX-UM2KN2XHQSHB
34,7000000033,1000000033,1475,2,4,4,4,581964,582504,CASH,PAID,ARS,14700.0,3087.0,0.0,17787.0,TX-PO2UBATPZ00H
35,7000000034,1000000034,634,2,2,2,2,815125,818845,CASH,PAID,ARS,85387.5,17931.38,0.0,103318.88,TX-922WAHDO61XN
36,7000000035,1000000035,585,2,1,1,1,368995,370675,CARD,PAID,ARS,21600.0,4536.0,0.0,26136.0,TX-Y8T15028LSUX
37,7000000036,1000000036,180,1,-1,-1,1863,738420,740880,CARD,PAID,ARS,49800.0,10458.0,900.0,61158.0,TX-WSO0CISUVYK2
38,7000000037,1000000037,482,1,-1,-1,2325,388808,391148,CARD,PAID,ARS,24696.0,5186.16,1200.0,31082.16,TX-VCRJJP6E0CCG
39,7000000038,1000000038,620,2,1,1,1,400230,400290,CARD,PAID,ARS,11760.0,2469.6,0.0,14229.6,TX-DIL01AV2R2A9
40,7000000039,1000000039,603,2,1,1,1,559003,559903,CARD,PAID,ARS,59160.0,12423.6,0.0,71583.6,TX-GO2N5MUY0V3U
41,7000000040,1000000040,1028,1,-1,-1,1149,443939,-1,CARD,FAILED,ARS,11400.0,2394.0,1200.0,14994.0,-1
42,7000000041,1000000041,1005,2,3,3,3,372120,373200,CASH,PAID,ARS,24510.0,5147.1,0.0,29657.1,TX-B543BB9H5C7R
43,7000000042,1000000042,790,1,-1,-1,33,742878,743178,GATEWAY,PAID,ARS,10260.0,2154.6,1500.0,13914.6,TX-X79V37PRDDTB
44,7000000043,1000000043,665,1,-1,-1,2043,556487,558707,CARD,PAID,ARS,39600.0,8316.0,900.0,48816.0,TX-3MPXSV4DAUND
45,7000000044,1000000044,562,1,-1,-1,1135,1231953,1236213,GATEWAY,PAID,ARS,73500.0,15435.0,1500.0,90435.0,TX-4JUJUM3AY4L6
46,7000000045,1000000045,998,1,-1,-1,1984,398235,401655,GATEWAY,PAID,ARS,36000.0,7560.0,900.0,44460.0,TX-6G4YWKOODVMB
47,7000000046,1000000046,276,1,-1,-1,493,368822,373022,CARD,PAID,ARS,33000.0,6930.0,0.0,39930.0,TX-OAGVE3OT79YR
48,7000000047,1000000047,1469,2,2,2,2,449814,450114,CASH,PAID,ARS,10800.0,2268.0,0.0,13068.0,TX-AL44LOCGN4MF
49,7000000048,1000000048,408,2,2,2,2,722411,-1,CARD,PENDING,ARS,23520.0,4939.2,0.0,28459.2,-1
50,7000000049,1000000049,1360,2,2,2,2,675096,677196,TRANSFER,PAID,ARS,40500.0,8505.0,0.0,49005.0,TX-66ID36XC53T2
51,7000000050,1000000050,1423,1,-1,-1,665,649466,650246,GATEWAY,PAID,ARS,28500.0,5985.0,1200.0,35685.0,TX-7PTIHWUY0CDA
52,7000000051,1000000051,741,1,-1,-1,1867,724691,728831,CARD,PAID,ARS,30870.0,6482.7,900.0,38252.7,TX-F093FL0ELLCQ
53,7000000052,1000000052,969,1,-1,-1,1612,796513,800173,CARD,PAID,ARS,70560.0,14817.6,0.0,85377.6,TX-LC4H6TVD1ZOD
54,7000000053,1000000053,729,1,-1,-1,458,672860,-1,CARD,FAILED,ARS,27000.0,5670.0,900.0,33570.0,-1
55,7000000054,1000000054,251,2,4,4,4,460940,464540,CASH,PAID,ARS,12348.0,2593.08,0.0,14941.08,TX-BABHWIKVNZZ3
56,7000000055,1000000055,1087,2,1,1,1,1173387,1174587,CARD,PAID,ARS,42750.0,8977.5,0.0,51727.5,TX-RJQ9HE6VB7HF
57,7000000056,1000000056,659,1,-1,-1,1891,1026218,1029878,CARD,PAID,ARS,71025.0,14915.25,1200.0,87140.25,TX-0RAAOO91OA8N
58,7000000057,1000000057,338,2,4,4,4,953632,956992,CASH,PAID,ARS,28425.0,5969.25,0.0,34394.25,TX-UXBOXO5T9DHX
59,7000000058,1000000058,1068,1,-1,-1,2075,733142,-1,CARD,FAILED,ARS,43350.0,9103.5,1500.0,53953.5,-1
60,7000000059,1000000059,958,1,-1,-1,2539,615687,618387,CARD,PAID,ARS,64200.0,13482.0,0.0,77682.0,TX-7033ZUJCIUHD
61,7000000060,1000000060,428,2,4,4,4,433222,-1,CARD,FAILED,ARS,29160.0,6123.6,0.0,35283.6,-1
62,7000000061,1000000061,1337,1,-1,-1,88,965421,968241,CARD,PAID,ARS,12000.0,2520.0,1200.0,15720.0,TX-5BCIDL8LGH8R
63,7000000062,1000000062,1442,2,3,3,3,867603,869343,TRANSFER,PAID,ARS,45000.0,9450.0,0.0,54450.0,TX-T7NWUQIQ9VOB
64,7000000063,1000000063,939,1,-1,-1,410,569418,573078,GATEWAY,PAID,ARS,37044.0,7779.24,1500.0,46323.24,TX-D4XNYWF5QEYL
65,7000000064,1000000064,1409,1,-1,-1,311,970006,973906,GATEWAY,PAID,ARS,14850.0,3118.5,1200.0,19168.5,TX-N8533KHZH4J5
66,7000000065,1000000065,1062,1,-1,-1,1403,727244,729104,GATEWAY,PAID,ARS,35280.0,7408.8,1200.0,43888.8,TX-JPJLBWJ1IRVA
67,7000000066,1000000066,988,1,-1,-1,138,389194,-1,GATEWAY,FAILED,ARS,35280.0,7408.8,1200.0,43888.8,-1
68,7000000067,1000000067,778,1,-1,-1,1252,1024824,1025544,GATEWAY,REFUNDED,ARS,14700.0,3087.0,900.0,18687.0,TX-MZNG9JBD25OS
69,7000000068,1000000068,77,1,-1,-1,624,835854,839634,CARD,PAID,ARS,84435.0,17731.35,0.0,102166.35,TX-PRTYVEKSVQUQ
70,7000000069,1000000069,700,1,-1,-1,480,588099,591219,CARD,PAID,ARS,44100.0,9261.0,0.0,53361.0,TX-4QPQRW6T77VI
71,7000000070,1000000070,425,1,-1,-1,432,1176472,1179592,CARD,PAID,ARS,12000.0,2520.0,900.0,15420.0,TX-4N53JR8S1YKT
72,7000000071,1000000071,1271,2,3,3,3,646201,648121,CARD,PAID,ARS,11760.0,2469.6,0.0,14229.6,TX-222J0CRS0SJJ
73,7000000072,1000000072,1129,1,-1,-1,2540,399381,402261,GATEWAY,PAID,ARS,12825.0,2693.25,1500.0,17018.25,TX-P43FW2ENH6BE
74,7000000073,1000000073,1224,1,-1,-1,1123,845119,847879,CARD,PAID,ARS,15435.0,3241.35,900.0,19576.35,TX-HU7AKHXTZ1YN
75,7000000074,1000000074,446,1,-1,-1,2068,854202,854862,CARD,PAID,ARS,56340.0,11831.4,900.0,69071.4,TX-TR4GSE74V5DM
76,7000000075,1000000075,867,1,-1,-1,2685,996137,998417,CARD,PAID,ARS,29400.0,6174.0,900.0,36474.0,TX-SK0540SEJOKI
77,7000000076,1000000076,127,1,-1,-1,3189,439822,441262,CARD,PAID,ARS,23520.0,4939.2,1200.0,29659.2,TX-N5EHQ403IVWA
78,7000000077,1000000077,874,2,1,1,1,840880,842620,CASH,PAID,ARS,23520.0,4939.2,0.0,28459.2,TX-MBGQQW2NEF1F
79,7000000078,1000000078,814,1,-1,-1,2367,892664,896984,CARD,PAID,ARS,40650.0,8536.5,0.0,49186.5,TX-IKM85NPGE98X
80,7000000079,1000000079,1189,1,-1,-1,840,1251537,1255077,GATEWAY,PAID,ARS,32400.0,6804.0,1200.0,40404.0,TX-UIU52W85YPS8
81,7000000080,1000000080,584,1,-1,-1,69,806789,806849,CARD,PAID,ARS,14700.0,3087.0,900.0,18687.0,TX-X6TWS79CTHK8
82,7000000081,1000000081,1433,1,-1,-1,953,926026,927346,CARD,PAID,ARS,52800.0,11088.0,900.0,64788.0,TX-1VPIVXSYTP4J
83,7000000082,1000000082,670,1,-1,-1,3103,1259188,1259308,CARD,PAID,ARS,34200.0,7182.0,1200.0,42582.0,TX-472J8NP9S8E9
84,7000000083,1000000083,464,1,-1,-1,842,411468,415308,GATEWAY,REFUNDED,ARS,38100.0,8001.0,1200.0,47301.0,TX-SBJLVY6L1XXX
85,7000000084,1000000084,535,1,-1,-1,153,827427,830187,GATEWAY,PAID,ARS,15000.0,3150.0,900.0,19050.0,TX-GJJBKDYPJZ5E
86,7000000085,1000000085,655,1,-1,-1,2185,964979,966419,GATEWAY,PAID,ARS,12348.0,2593.08,1500.0,16441.08,TX-4YYBKHTAB92W
87,7000000086,1000000086,833,1,-1,-1,2251,1210253,1212533,GATEWAY,PAID,ARS,10800.0,2268.0,1200.0,14268.0,TX-H6SGL5WR6ZEB
88,7000000087,1000000087,490,1,-1,-1,1449,852774,-1,CARD,FAILED,ARS,11400.0,2394.0,1200.0,14994.0,-1
89,7000000088,1000000088,360,1,-1,-1,1460,401159,401579,GATEWAY,PAID,ARS,56400.0,11844.0,900.0,69144.0,TX-YO60F0EA8647
90,7000000089,1000000089,1227,1,-1,-1,1176,1122490,1125370,CARD,PAID,ARS,14250.0,2992.5,1200.0,18442.5,TX-JKULC5L36UG4
91,7000000090,1000000090,624,1,-1,-1,38,391412,393332,CARD,PAID,ARS,36825.0,7733.25,900.0,45458.25,TX-IO1AR1ZGZBUT
92,7000000091,1000000091,228,1,-1,-1,2302,421573,424453,GATEWAY,PAID,ARS,91192.5,19150.42,0.0,110342.92,TX-NDNQBVR081I1
93,7000000092,1000000092,770,1,-1,-1,776,589787,592067,GATEWAY,PAID,ARS,30000.0,6300.0,900.0,37200.0,TX-7539MH4QX495
94,7000000093,1000000093,54,2,2,2,2,812127,812667,CASH,PAID,ARS,84675.0,17781.75,0.0,102456.75,TX-V4AUXB59ROGA
95,7000000094,1000000094,1006,2,4,4,4,872826,875946,CASH,PAID,ARS,74700.0,15687.0,0.0,90387.0,TX-LBRHLVO2Y93F
96,7000000095,1000000095,247,1,-1,-1,1295,1265430,1266810,GATEWAY,PAID,ARS,48510.0,10187.1,1200.0,59897.1,TX-MBMP050ORNEE
97,7000000096,1000000096,1127,2,3,3,3,1084964,1086104,CASH,PAID,ARS,35280.0,7408.8,0.0,42688.8,TX-14WCNJXENRUU
98,7000000097,1000000097,757,2,2,2,2,588597,591657,CASH,PAID,ARS,15435.0,3241.35,0.0,18676.35,TX-TS02NI4GYBVJ
99,7000000098,1000000098,520,1,-1,-1,2447,901930,903250,CARD,PAID,ARS,35910.0,7541.1,900.0,44351.1,TX-2EHPQP6AIXY3
100,7000000099,1000000099,258,1,-1,-1,228,435752,436892,CARD,PAID,ARS,12000.0,2520.0,0.0,14520.0,TX-6QBJB2NZNX9G
101,7000000100,1000000100,467,1,-1,-1,1889,657336,-1,CARD,FAILED,ARS,23148.0,4861.08,900.0,28909.08,-1
102,7000000101,1000000101,3,1,-1,-1,223,481126,483046,GATEWAY,PAID,ARS,36000.0,7560.0,900.0,44460.0,TX-N8LT25CDZBGQ
103,7000000102,1000000102,334,1,-1,-1,2867,818341,820261,CARD,PAID,ARS,35280.0,7408.8,1200.0,43888.8,TX-UA4DQXIN6727
104,7000000103,1000000103,802,2,3,3,3,473994,-1,CASH,PENDING,ARS,30780.0,6463.8,0.0,37243.8,-1
105,7000000104,1000000104,999,1,-1,-1,3052,472136,473096,CARD,REFUNDED,ARS,30000.0,6300.0,1200.0,37500.0,TX-GYPM2FM72C6Z
106,7000000105,1000000105,176,1,-1,-1,2444,543148,543808,CARD,PAID,ARS,21600.0,4536.0,1200.0,27336.0,TX-HSNZ6UUKGLAE
107,7000000106,1000000106,801,1,-1,-1,2960,935050,937570,GATEWAY,PAID,ARS,15000.0,3150.0,900.0,19050.0,TX-886LJXE6L2ZU
108,7000000107,1000000107,1113,1,-1,-1,1947,557517,558177,CARD,PAID,ARS,34020.0,7144.2,900.0,42064.2,TX-W9F9L785FTPB
109,7000000108,1000000108,810,2,4,4,4,1145052,1145412,CASH,PAID,ARS,46305.0,9724.05,0.0,56029.05,TX-QM24BIHB24AY
110,7000000109,1000000109,581,2,4,4,4,514579,517939,CARD,PAID,ARS,33000.0,6930.0,0.0,39930.0,TX-18ZITZHX2G7U
111,7000000110,1000000110,1284,2,2,2,2,1102874,-1,TRANSFER,FAILED,ARS,68070.0,14294.7,0.0,82364.7,-1
112,7000000111,1000000111,1333,1,-1,-1,1880,863508,865008,GATEWAY,PAID,ARS,15435.0,3241.35,1200.0,19876.35,TX-LLQCAQ4XRN0T
113,7000000112,1000000112,24,2,2,2,2,964424,967004,CASH,PAID,ARS,76770.0,16121.7,0.0,92891.7,TX-MH4GBLCKUHYD
114,7000000113,1000000113,1222,2,1,1,1,381780,-1,CARD,FAILED,ARS,12936.0,2716.56,0.0,15652.56,-1
115,7000000114,1000000114,63,2,1,1,1,727687,731467,TRANSFER,PAID,ARS,9720.0,2041.2,0.0,11761.2,TX-42Q8BZ53GWTF
116,7000000115,1000000115,1078,1,-1,-1,3,423408,424668,CARD,REFUNDED,ARS,21600.0,4536.0,1500.0,27636.0,TX-PLUI46HDV8I9
117,7000000116,1000000116,1091,1,-1,-1,2613,615505,619405,CARD,PAID,ARS,39600.0,8316.0,1200.0,49116.0,TX-FCJTQEJPPTTX
118,7000000117,1000000117,524,1,-1,-1,1258,907092,907632,CARD,PAID,ARS,24000.0,5040.0,1200.0,30240.0,TX-AKHIN8QKBR9F
119,7000000118,1000000118,1229,1,-1,-1,2394,1207625,1210505,CARD,PAID,ARS,38808.0,8149.68,900.0,47857.68,TX-5HRXEHTTUWX2
120,7000000119,1000000119,458,2,4,4,4,1162795,1163155,CARD,PAID,ARS,14700.0,3087.0,0.0,17787.0,TX-IWD52SW6D9WI
121,7000000120,1000000120,68,1,-1,-1,1657,509622,512802,CARD,PAID,ARS,11760.0,2469.6,0.0,14229.6,TX-ILPQFBQW1HUK
122,7000000121,1000000121,959,2,4,4,4,862864,863944,TRANSFER,PAID,ARS,37620.0,7900.2,0.0,45520.2,TX-921BB2YAJ1WR
123,7000000122,1000000122,356,2,1,1,1,1227778,1227958,CASH,PAID,ARS,36000.0,7560.0,0.0,43560.0,TX-89TOCP8FP1K8
124,7000000123,1000000123,530,1,-1,-1,5,1130932,-1,CARD,FAILED,ARS,14700.0,3087.0,1200.0,18987.0,-1
125,7000000124,1000000124,1420,1,-1,-1,3008,405376,405856,GATEWAY,PAID,ARS,54684.0,11483.64,1200.0,67367.64,TX-1XC2I92PV07U
126,7000000125,1000000125,279,2,3,3,3,626897,630557,TRANSFER,PAID,ARS,51300.0,10773.0,0.0,62073.0,TX-CII1J0F53QB3
127,7000000126,1000000126,779,2,3,3,3,587665,588205,CASH,PAID,ARS,15000.0,3150.0,0.0,18150.0,TX-E46XAAD0XH2M
128,7000000127,1000000127,1383,1,-1,-1,2117,437120,438080,CARD,PAID,ARS,56850.0,11938.5,1200.0,69988.5,TX-3DYYWZL0OZT4
129,7000000128,1000000128,1189,1,-1,-1,1356,1037357,-1,CARD,FAILED,ARS,82620.0,17350.2,1500.0,101470.2,-1
130,7000000129,1000000129,1016,1,-1,-1,3040,1254145,1257805,CARD,PAID,ARS,62280.0,13078.8,1500.0,76858.8,TX-RRK6UJVBP3BA
131,7000000130,1000000130,595,2,3,3,3,1081588,1084408,CASH,PAID,ARS,12150.0,2551.5,0.0,14701.5,TX-J90VB1C4W9I4
132,7000000131,1000000131,902,2,4,4,4,387565,388525,CASH,PAID,ARS,39600.0,8316.0,0.0,47916.0,TX-Y1HNXIYYVIWS
133,7000000132,1000000132,317,1,-1,-1,2546,651924,653964,CARD,PAID,ARS,26460.0,5556.6,1200.0,33216.6,TX-M2V0MW405G00
134,7000000133,1000000133,1229,2,2,2,2,591347,593447,TRANSFER,PAID,ARS,15000.0,3150.0,0.0,18150.0,TX-Z1JB0OXDFNS8
135,7000000134,1000000134,279,2,3,3,3,360126,364206,CASH,PAID,ARS,62280.0,13078.8,0.0,75358.8,TX-98P7PRJHHZH1
136,7000000135,1000000135,1498,2,4,4,4,569256,572676,CASH,PAID,ARS,33000.0,6930.0,0.0,39930.0,TX-1CGWJ9S8U287
137,7000000136,1000000136,140,1,-1,-1,1773,908371,911191,CARD,PAID,ARS,28500.0,5985.0,0.0,34485.0,TX-BW4Q46DERG87
138,7000000137,1000000137,1115,1,-1,-1,2545,813587,817607,GATEWAY,PAID,ARS,11760.0,2469.6,0.0,14229.6,TX-V1KGVXLOBICL
139,7000000138,1000000138,1240,1,-1,-1,1704,356184,360384,CARD,PAID,ARS,34200.0,7182.0,1500.0,42882.0,TX-PXS2LYM9VUDM
140,7000000139,1000000139,590,1,-1,-1,1036,492432,494472,CARD,PAID,ARS,13500.0,2835.0,1200.0,17535.0,TX-6FRNX7VHUKP5
141,7000000140,1000000140,645,2,3,3,3,948837,952137,CASH,PAID,ARS,13230.0,2778.3,0.0,16008.3,TX-KDQIUT6HRCFU
142,7000000141,1000000141,545,2,1,1,1,835045,838465,TRANSFER,REFUNDED,ARS,11880.0,2494.8,0.0,14374.8,TX-TJABWHM24N2G
143,7000000142,1000000142,1208,1,-1,-1,1955,1132653,1134573,CARD,REFUNDED,ARS,50706.0,10648.26,1500.0,62854.26,TX-ATMX5MVNFKMN
144,7000000143,1000000143,551,2,1,1,1,578940,582360,CARD,PAID,ARS,66600.0,13986.0,0.0,80586.0,TX-523ARBBR7DKI
145,7000000144,1000000144,569,2,1,1,1,409711,-1,CARD,FAILED,ARS,29700.0,6237.0,0.0,35937.0,-1
146,7000000145,1000000145,1305,1,-1,-1,3178,1167288,1169628,GATEWAY,PAID,ARS,30000.0,6300.0,1500.0,37800.0,TX-30JNSPSKTRCG
147,7000000146,1000000146,280,1,-1,-1,2731,532913,533993,CARD,PAID,ARS,82687.5,17364.38,900.0,100951.88,TX-XAZ8J2P7RN3J
148,7000000147,1000000147,1338,1,-1,-1,1472,845124,846144,CARD,PAID,ARS,59340.0,12461.4,900.0,72701.4,TX-AY74FPLLGRCU
149,7000000148,1000000148,84,1,-1,-1,2447,1127172,1130892,CARD,PAID,ARS,35280.0,7408.8,1200.0,43888.8,TX-FO8HBF5JCDZ9
150,7000000149,1000000149,655,1,-1,-1,1117,909975,912675,GATEWAY,PAID,ARS,13500.0,2835.0,900.0,17235.0,TX-Q8HCQUTXQ7XL
151,7000000150,1000000150,513,2,4,4,4,1095801,1096701,CARD,PAID,ARS,32340.0,6791.4,0.0,39131.4,TX-16PJPVWP8VO5
152,7000000151,1000000151,884,2,3,3,3,506467,506887,CARD,PAID,ARS,35280.0,7408.8,0.0,42688.8,TX-D5E93RC1Y9LZ
153,7000000152,1000000152,385,2,2,2,2,362899,365059,CARD,PAID,ARS,9720.0,2041.2,0.0,11761.2,TX-60N330PGBOPH
154,7000000153,1000000153,723,2,2,2,2,1111257,-1,CARD,FAILED,ARS,10800.0,2268.0,0.0,13068.0,-1
155,7000000154,1000000154,110,2,1,1,1,615663,616923,CASH,PAID,ARS,42525.0,8930.25,0.0,51455.25,TX-C5TG8BKA8V0I
156,7000000155,1000000155,1197,1,-1,-1,3125,413319,413439,CARD,PAID,ARS,12000.0,2520.0,900.0,15420.0,TX-QDUILY7E5RXR
157,7000000156,1000000156,833,2,2,2,2,788599,789019,CASH,PAID,ARS,42750.0,8977.5,0.0,51727.5,TX-38M7D53IIBFW
158,7000000157,1000000157,371,2,3,3,3,916791,-1,TRANSFER,FAILED,ARS,59250.0,12442.5,0.0,71692.5,-1
159,7000000158,1000000158,905,2,1,1,1,518378,519038,CARD,PAID,ARS,30000.0,6300.0,0.0,36300.0,TX-2D7GG3Z4ZLDA
160,7000000159,1000000159,389,1,-1,-1,307,634019,634079,CARD,PAID,ARS,12348.0,2593.08,1200.0,16141.08,TX-WQF78OSLQBW6
161,7000000160,1000000160,1299,2,4,4,4,589590,591810,TRANSFER,PAID,ARS,29400.0,6174.0,0.0,35574.0,TX-OTEFX8XIJPHG
162,7000000161,1000000161,725,1,-1,-1,2912,776192,778772,GATEWAY,PAID,ARS,45000.0,9450.0,900.0,55350.0,TX-ELH913SD09OY
163,7000000162,1000000162,645,2,4,4,4,1184901,1186341,CARD,PAID,ARS,22800.0,4788.0,0.0,27588.0,TX-8EDJM7W4HXIO
164,7000000163,1000000163,584,1,-1,-1,136,431191,435511,CARD,PAID,ARS,21600.0,4536.0,900.0,27036.0,TX-FA2N1L9GFVND
165,7000000164,1000000164,436,1,-1,-1,2762,955099,957499,CARD,PAID,ARS,63000.0,13230.0,900.0,77130.0,TX-YH73YULSS506
166,7000000165,1000000165,293,1,-1,-1,2361,1223047,1224367,GATEWAY,PAID,ARS,23520.0,4939.2,1500.0,29959.2,TX-RBYQGYIW59OD
167,7000000166,1000000166,1065,1,-1,-1,2496,1179160,1181980,GATEWAY,PAID,ARS,43425.0,9119.25,1200.0,53744.25,TX-D8WL2IKBUTZI
168,7000000167,1000000167,1234,1,-1,-1,2706,905145,-1,CARD,FAILED,ARS,47085.0,9887.85,1200.0,58172.85,-1
169,7000000168,1000000168,400,1,-1,-1,2527,434669,-1,CARD,FAILED,ARS,40500.0,8505.0,1200.0,50205.0,-1
170,7000000169,1000000169,251,1,-1,-1,1329,626164,626944,GATEWAY,PAID,ARS,10800.0,2268.0,1200.0,14268.0,TX-XQWOUYAADU90
171,7000000170,1000000170,764,2,4,4,4,480008,480488,TRANSFER,PAID,ARS,30000.0,6300.0,0.0,36300.0,TX-6YQEF864BWX0
172,7000000171,1000000171,1490,1,-1,-1,2557,962726,-1,CARD,PENDING,ARS,11760.0,2469.6,1200.0,15429.6,-1
173,7000000172,1000000172,181,1,-1,-1,1805,536260,537040,GATEWAY,PAID,ARS,22800.0,4788.0,900.0,28488.0,TX-0DQD29Q3T08A
174,7000000173,1000000173,693,1,-1,-1,1635,1119821,1122461,CARD,PAID,ARS,31500.0,6615.0,1200.0,39315.0,TX-ALLSSFK7QIRJ
175,7000000174,1000000174,672,2,2,2,2,712874,714794,TRANSFER,PAID,ARS,11760.0,2469.6,0.0,14229.6,TX-7EGA4TIAD1CG
176,7000000175,1000000175,786,1,-1,-1,2161,571404,573504,GATEWAY,PAID,ARS,12000.0,2520.0,900.0,15420.0,TX-4RCDBOT74U6U
177,7000000176,1000000176,1347,2,2,2,2,959474,962654,CASH,PAID,ARS,14850.0,3118.5,0.0,17968.5,TX-RZQOC4EU0DBF
178,7000000177,1000000177,628,1,-1,-1,868,824985,827685,CARD,PAID,ARS,12825.0,2693.25,1200.0,16718.25,TX-8KSFQE50C7WX
179,7000000178,1000000178,1485,2,2,2,2,1055901,1057821,CARD,PAID,ARS,13500.0,2835.0,0.0,16335.0,TX-UOPZ2LNTJYIU
180,7000000179,1000000179,805,1,-1,-1,2735,1201499,1203239,GATEWAY,PAID,ARS,72600.0,15246.0,900.0,88746.0,TX-3467WCDPI2EY
