order_sk,order_id,customer_sk,channel_sk,store_sk,billing_address_sk,shipping_address_sk,order_date_sk,status,currency_code,subtotal,tax_amount,shipping_fee,total_amount
1,1000000000,356,1,-1,-1,599,828471,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0
2,1000000001,601,1,-1,-1,2538,396061,CREATED,ARS,63840.0,13406.4,900.0,78146.4
3,1000000002,1234,1,-1,-1,3067,961660,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6
4,1000000003,156,1,-1,-1,511,965856,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0
5,1000000004,616,2,4,4,4,481127,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75
6,1000000005,614,2,2,2,2,456295,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0
7,1000000006,188,1,-1,-1,1152,1162016,REFUNDED,ARS,14250.0,2992.5,1200.0,18442.5
8,1000000007,17,1,-1,-1,2581,807616,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
9,1000000008,1148,1,-1,-1,494,694290,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0
10,1000000009,1037,1,-1,-1,978,481595,PAID,ARS,12825.0,2693.25,1200.0,16718.25
11,1000000010,1336,2,1,1,1,456620,REFUNDED,ARS,14700.0,3087.0,0.0,17787.0
12,1000000011,1239,2,4,4,4,1120547,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4
13,1000000012,1426,2,3,3,3,671919,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
14,1000000013,862,2,1,1,1,997167,PAID,ARS,101887.5,21396.38,0.0,123283.88
15,1000000014,181,1,-1,-1,2921,1210367,PAID,ARS,11760.0,2469.6,900.0,15129.6
16,1000000015,700,1,-1,-1,807,725084,CANCELLED,ARS,23520.0,4939.2,1200.0,29659.2
17,1000000016,475,1,-1,-1,2562,1223927,FULFILLED,ARS,22680.0,4762.8,1200.0,28642.8
18,1000000017,753,2,2,2,2,951277,FULFILLED,ARS,66870.0,14042.7,0.0,80912.7
19,1000000018,1151,1,-1,-1,1695,634521,CANCELLED,ARS,81990.0,17217.9,900.0,100107.9
20,1000000019,793,1,-1,-1,2616,1038493,FULFILLED,ARS,37044.0,7779.24,1200.0,46023.24
21,1000000020,866,1,-1,-1,2378,534337,FULFILLED,ARS,49500.0,10395.0,0.0,59895.0
22,1000000021,1110,1,-1,-1,1549,1262766,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
23,1000000022,854,2,1,1,1,482537,REFUNDED,ARS,24000.0,5040.0,0.0,29040.0
24,1000000023,379,2,3,3,3,1147423,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0
25,1000000024,441,2,2,2,2,967198,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
26,1000000025,125,1,-1,-1,516,1221538,FULFILLED,ARS,70087.5,14718.38,1200.0,86005.88
27,1000000026,1201,1,-1,-1,301,852480,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
28,1000000027,1055,1,-1,-1,1862,836745,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0
29,1000000028,382,1,-1,-1,1423,550452,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0
30,1000000029,1456,1,-1,-1,1425,1248644,FULFILLED,ARS,64740.0,13595.4,900.0,79235.4
31,1000000030,1377,2,4,4,4,1109943,PAID,ARS,34200.0,7182.0,0.0,41382.0
32,1000000031,1375,2,4,4,4,1066276,PAID,ARS,23520.0,4939.2,0.0,28459.2
33,1000000032,821,1,-1,-1,924,985838,FULFILLED,ARS,27000.0,5670.0,1200.0,33870.0
34,1000000033,1475,2,4,4,4,581964,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0
35,1000000034,634,2,2,2,2,815125,FULFILLED,ARS,85387.5,17931.38,0.0,103318.88
36,1000000035,585,2,1,1,1,368995,FULFILLED,ARS,21600.0,4536.0,0.0,26136.0
37,1000000036,180,1,-1,-1,1863,738420,FULFILLED,ARS,49800.0,10458.0,900.0,61158.0
38,1000000037,482,1,-1,-1,2325,388808,FULFILLED,ARS,24696.0,5186.16,1200.0,31082.16
39,1000000038,620,2,1,1,1,400230,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
40,1000000039,603,2,1,1,1,559003,FULFILLED,ARS,59160.0,12423.6,0.0,71583.6
41,1000000040,1028,1,-1,-1,1149,443939,CANCELLED,ARS,11400.0,2394.0,1200.0,14994.0
42,1000000041,1005,2,3,3,3,372120,FULFILLED,ARS,24510.0,5147.1,0.0,29657.1
43,1000000042,790,1,-1,-1,33,742878,FULFILLED,ARS,10260.0,2154.6,1500.0,13914.6
44,1000000043,665,1,-1,-1,2043,556487,PAID,ARS,39600.0,8316.0,900.0,48816.0
45,1000000044,562,1,-1,-1,1135,1231953,FULFILLED,ARS,73500.0,15435.0,1500.0,90435.0
46,1000000045,998,1,-1,-1,1984,398235,FULFILLED,ARS,36000.0,7560.0,900.0,44460.0
47,1000000046,276,1,-1,-1,493,368822,FULFILLED,ARS,33000.0,6930.0,0.0,39930.0
48,1000000047,1469,2,2,2,2,449814,FULFILLED,ARS,10800.0,2268.0,0.0,13068.0
49,1000000048,408,2,2,2,2,722411,CREATED,ARS,23520.0,4939.2,0.0,28459.2
50,1000000049,1360,2,2,2,2,675096,FULFILLED,ARS,40500.0,8505.0,0.0,49005.0
51,1000000050,1423,1,-1,-1,665,649466,FULFILLED,ARS,28500.0,5985.0,1200.0,35685.0
52,1000000051,741,1,-1,-1,1867,724691,FULFILLED,ARS,30870.0,6482.7,900.0,38252.7
53,1000000052,969,1,-1,-1,1612,796513,FULFILLED,ARS,70560.0,14817.6,0.0,85377.6
54,1000000053,729,1,-1,-1,458,672860,CANCELLED,ARS,27000.0,5670.0,900.0,33570.0
55,1000000054,251,2,4,4,4,460940,PAID,ARS,12348.0,2593.08,0.0,14941.08
56,1000000055,1087,2,1,1,1,1173387,PAID,ARS,42750.0,8977.5,0.0,51727.5
57,1000000056,659,1,-1,-1,1891,1026218,FULFILLED,ARS,71025.0,14915.25,1200.0,87140.25
58,1000000057,338,2,4,4,4,953632,FULFILLED,ARS,28425.0,5969.25,0.0,34394.25
59,1000000058,1068,1,-1,-1,2075,733142,CANCELLED,ARS,43350.0,9103.5,1500.0,53953.5
60,1000000059,958,1,-1,-1,2539,615687,FULFILLED,ARS,64200.0,13482.0,0.0,77682.0
61,1000000060,428,2,4,4,4,433222,CANCELLED,ARS,29160.0,6123.6,0.0,35283.6
62,1000000061,1337,1,-1,-1,88,965421,FULFILLED,ARS,12000.0,2520.0,1200.0,15720.0
63,1000000062,1442,2,3,3,3,867603,FULFILLED,ARS,45000.0,9450.0,0.0,54450.0
64,1000000063,939,1,-1,-1,410,569418,FULFILLED,ARS,37044.0,7779.24,1500.0,46323.24
65,1000000064,1409,1,-1,-1,311,970006,FULFILLED,ARS,14850.0,3118.5,1200.0,19168.5
66,1000000065,1062,1,-1,-1,1403,727244,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
67,1000000066,988,1,-1,-1,138,389194,CANCELLED,ARS,35280.0,7408.8,1200.0,43888.8
68,1000000067,778,1,-1,-1,1252,1024824,REFUNDED,ARS,14700.0,3087.0,900.0,18687.0
69,1000000068,77,1,-1,-1,624,835854,PAID,ARS,84435.0,17731.35,0.0,102166.35
70,1000000069,700,1,-1,-1,480,588099,FULFILLED,ARS,44100.0,9261.0,0.0,53361.0
71,1000000070,425,1,-1,-1,432,1176472,PAID,ARS,12000.0,2520.0,900.0,15420.0
72,1000000071,1271,2,3,3,3,646201,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
73,1000000072,1129,1,-1,-1,2540,399381,PAID,ARS,12825.0,2693.25,1500.0,17018.25
74,1000000073,1224,1,-1,-1,1123,845119,PAID,ARS,15435.0,3241.35,900.0,19576.35
75,1000000074,446,1,-1,-1,2068,854202,FULFILLED,ARS,56340.0,11831.4,900.0,69071.4
76,1000000075,867,1,-1,-1,2685,996137,FULFILLED,ARS,29400.0,6174.0,900.0,36474.0
77,1000000076,127,1,-1,-1,3189,439822,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
78,1000000077,874,2,1,1,1,840880,PAID,ARS,23520.0,4939.2,0.0,28459.2
