order_item_sk,order_item_id,order_id,product_sk,customer_sk,channel_sk,store_sk,billing_address_sk,shipping_address_sk,order_date_sk,quantity,unit_price,discount_amount,line_total,status,currency_code,tax_amount,shipping_fee
1,5000000000,1000000000,2,356,1,-1,-1,599,828471,2,15000.0,0.0,30000.0,FULFILLED,ARS,10836.0,1200.0
2,5000000001,1000000000,1,356,1,-1,-1,599,828471,2,12000.0,2400.0,21600.0,FULFILLED,ARS,10836.0,1200.0
3,5000000002,1000000001,1,601,1,-1,-1,2538,396061,1,12000.0,240.0,11760.0,CREATED,ARS,13406.4,900.0
4,5000000003,1000000001,2,601,1,-1,-1,2538,396061,2,15000.0,600.0,29400.0,CREATED,ARS,13406.4,900.0
5,5000000004,1000000001,1,601,1,-1,-1,2538,396061,2,12600.0,2520.0,22680.0,CREATED,ARS,13406.4,900.0
6,5000000005,1000000002,1,1234,1,-1,-1,3067,961660,1,12000.0,240.0,11760.0,FULFILLED,ARS,5304.6,1500.0
7,5000000006,1000000002,2,1234,1,-1,-1,3067,961660,1,15000.0,1500.0,13500.0,FULFILLED,ARS,5304.6,1500.0
8,5000000007,1000000003,1,156,1,-1,-1,511,965856,1,12000.0,1200.0,10800.0,FULFILLED,ARS,5355.0,0.0
9,5000000008,1000000003,2,156,1,-1,-1,511,965856,1,15000.0,300.0,14700.0,FULFILLED,ARS,5355.0,0.0
10,5000000009,1000000004,2,616,2,4,4,4,481127,2,15750.0,1575.0,29925.0,FULFILLED,ARS,9276.75,0.0
11,5000000010,1000000004,2,616,2,4,4,4,481127,1,15000.0,750.0,14250.0,FULFILLED,ARS,9276.75,0.0
12,5000000011,1000000005,1,614,2,2,2,2,456295,2,12000.0,0.0,24000.0,FULFILLED,ARS,5040.0,0.0
13,5000000012,1000000006,2,188,1,-1,-1,1152,1162016,1,15000.0,750.0,14250.0,REFUNDED,ARS,2992.5,1200.0
14,5000000013,1000000007,2,17,1,-1,-1,2581,807616,1,15000.0,1500.0,13500.0,FULFILLED,ARS,2835.0,1200.0
15,5000000014,1000000008,1,1148,1,-1,-1,494,694290,3,12000.0,0.0,36000.0,FULFILLED,ARS,18711.0,1200.0
16,5000000015,1000000008,2,1148,1,-1,-1,494,694290,3,15000.0,4500.0,40500.0,FULFILLED,ARS,18711.0,1200.0
17,5000000016,1000000008,1,1148,1,-1,-1,494,694290,1,12600.0,0.0,12600.0,FULFILLED,ARS,18711.0,1200.0
18,5000000017,1000000009,2,1037,1,-1,-1,978,481595,1,13500.0,675.0,12825.0,PAID,ARS,2693.25,1200.0
19,5000000018,1000000010,2,1336,2,1,1,1,456620,1,15000.0,300.0,14700.0,REFUNDED,ARS,3087.0,0.0
20,5000000019,1000000011,2,1239,2,4,4,4,1120547,1,15000.0,300.0,14700.0,FULFILLED,ARS,7169.4,0.0
21,5000000020,1000000011,1,1239,2,4,4,4,1120547,2,10800.0,2160.0,19440.0,FULFILLED,ARS,7169.4,0.0
22,5000000021,1000000012,1,1426,2,3,3,3,671919,3,12000.0,720.0,35280.0,FULFILLED,ARS,7408.8,0.0
23,5000000022,1000000013,2,862,2,1,1,1,997167,3,15750.0,2362.5,44887.5,PAID,ARS,21396.38,0.0
24,5000000023,1000000013,1,862,2,1,1,1,997167,3,12000.0,1800.0,34200.0,PAID,ARS,21396.38,0.0
25,5000000024,1000000013,1,862,2,1,1,1,997167,2,12000.0,1200.0,22800.0,PAID,ARS,21396.38,0.0
26,5000000025,1000000014,1,181,1,-1,-1,2921,1210367,1,12000.0,240.0,11760.0,PAID,ARS,2469.6,900.0
27,5000000026,1000000015,1,700,1,-1,-1,807,725084,2,12000.0,480.0,23520.0,CANCELLED,ARS,4939.2,1200.0
28,5000000027,1000000016,1,475,1,-1,-1,2562,1223927,2,12600.0,2520.0,22680.0,FULFILLED,ARS,4762.8,1200.0
29,5000000028,1000000017,2,753,2,2,2,2,951277,2,15750.0,630.0,30870.0,FULFILLED,ARS,14042.7,0.0
30,5000000029,1000000017,1,753,2,2,2,2,951277,3,12000.0,0.0,36000.0,FULFILLED,ARS,14042.7,0.0
31,5000000030,1000000018,2,1151,1,-1,-1,1695,634521,1,13500.0,270.0,13230.0,CANCELLED,ARS,17217.9,900.0
32,5000000031,1000000018,1,1151,1,-1,-1,1695,634521,2,13200.0,2640.0,23760.0,CANCELLED,ARS,17217.9,900.0
33,5000000032,1000000018,2,1151,1,-1,-1,1695,634521,3,15000.0,0.0,45000.0,CANCELLED,ARS,17217.9,900.0
34,5000000033,1000000019,1,793,1,-1,-1,2616,1038493,3,12600.0,756.0,37044.0,FULFILLED,ARS,7779.24,1200.0
35,5000000034,1000000020,2,866,1,-1,-1,2378,534337,3,16500.0,0.0,49500.0,FULFILLED,ARS,10395.0,0.0
36,5000000035,1000000021,1,1110,1,-1,-1,1549,1262766,2,12000.0,480.0,23520.0,FULFILLED,ARS,4939.2,1200.0
37,5000000036,1000000022,1,854,2,1,1,1,482537,2,12000.0,0.0,24000.0,REFUNDED,ARS,5040.0,0.0
38,5000000037,1000000023,2,379,2,3,3,3,1147423,2,15000.0,600.0,29400.0,FULFILLED,ARS,14364.0,0.0
39,5000000038,1000000023,1,379,2,3,3,3,1147423,1,12000.0,0.0,12000.0,FULFILLED,ARS,14364.0,0.0
