shipment_sk,shipment_id,order_id,customer_sk,channel_sk,store_sk,billing_address_sk,shipping_address_sk,order_date_sk,shipped_at_sk,delivered_at_sk,carrier,tracking_number,status,shipping_fee
1,9000000000,1000000000,356,1,-1,-1,599,828471,829911,834231,Correo Argentino,TRK-LM6S0ZIUQ6,DELIVERED,1200.0
2,9000000001,1000000001,601,1,-1,-1,2538,396061,397501,403261,Correo Argentino,TRK-S7JYRIGG48,READY,900.0
3,9000000002,1000000002,1234,1,-1,-1,3067,961660,963100,965980,Correo Argentino,TRK-YI8R5NTIPW,DELIVERED,1500.0
4,9000000003,1000000003,156,1,-1,-1,511,965856,967296,973056,Correo Argentino,TRK-UWNN6LXYNU,DELIVERED,0.0
5,9000000004,1000000004,616,2,4,4,4,481127,481127,482567,PICKUP,-1,DELIVERED,0.0
6,9000000005,1000000005,614,2,2,2,2,456295,456295,457735,PICKUP,-1,DELIVERED,0.0
7,9000000006,1000000006,188,1,-1,-1,1152,1162016,1163456,1169216,Correo Argentino,TRK-UCA7R6D2X6,DELIVERED,1200.0
8,9000000007,1000000007,17,1,-1,-1,2581,807616,809056,813376,Correo Argentino,TRK-EEAFDZHDID,DELIVERED,1200.0
9,9000000008,1000000008,1148,1,-1,-1,494,694290,695730,698610,Correo Argentino,TRK-99ZZCRAXY6,DELIVERED,1200.0
10,9000000009,1000000009,1037,1,-1,-1,978,481595,483035,487355,Correo Argentino,TRK-M4QI31HO4X,SHIPPED,1200.0
11,9000000010,1000000010,1336,2,1,1,1,456620,456620,458060,PICKUP,-1,DELIVERED,0.0
12,9000000011,1000000011,1239,2,4,4,4,1120547,1120547,1121987,PICKUP,-1,DELIVERED,0.0
13,9000000012,1000000012,1426,2,3,3,3,671919,671919,673359,PICKUP,-1,DELIVERED,0.0
14,9000000013,1000000013,862,2,1,1,1,997167,997167,998607,PICKUP,-1,SHIPPED,0.0
15,9000000014,1000000014,181,1,-1,-1,2921,1210367,1211807,1219007,Correo Argentino,TRK-TEL745CSF0,SHIPPED,900.0
16,9000000015,1000000015,700,1,-1,-1,807,725084,-1,-1,Correo Argentino,-1,CANCELLED,1200.0
17,9000000016,1000000016,475,1,-1,-1,2562,1223927,1225367,1232567,Correo Argentino,TRK-2QJED48Q5H,DELIVERED,1200.0
18,9000000017,1000000017,753,2,2,2,2,951277,951277,952717,PICKUP,-1,DELIVERED,0.0
19,9000000018,1000000018,1151,1,-1,-1,1695,634521,-1,-1,Correo Argentino,-1,CANCELLED,900.0
20,9000000019,1000000019,793,1,-1,-1,2616,1038493,1039933,1045693,Correo Argentino,TRK-LU2ZLGLEOH,DELIVERED,1200.0
21,9000000020,1000000020,866,1,-1,-1,2378,534337,535777,541537,Correo Argentino,TRK-UD7KW642LM,DELIVERED,0.0
22,9000000021,1000000021,1110,1,-1,-1,1549,1262766,1264206,1267086,Correo Argentino,TRK-4588YSVCZA,DELIVERED,1200.0
23,9000000022,1000000022,854,2,1,1,1,482537,482537,483977,PICKUP,-1,DELIVERED,0.0
